No,Date,Time,ID,Result,ST01£¨0.0-0.8£©,ST02£¨0.0-0.8£©,ST03£¨0.0-0.8£©,ST04£¨0.0-0.8£©,P-B'£¨0.0-0.8£©,P-F',P-A',P-E',P-B,P-F,P-A,P-E,P-H',P-H,P-X',P-Y',P-X,P-Y,P-M,P-N,P-M',P-N'
78,2023/12/20,13:55:46,104458001D2335417A012,OK,0.10,0.50,0.30,0.40,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK
77,2023/12/20,13:54:36,104458001D2334918B056,NG,0.60,-0.90,0.60,0.30,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK
76,2023/12/20,13:53:30,104458001D2334218B009,OK,0.50,0.00,0.70,0.00,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK
75,2023/12/20,13:44:02,104458001D2335417A015,OK,0.50,0.50,0.00,0.40,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK
74,2023/12/20,13:36:56,104458001D2335417A014,OK,0.00,0.20,0.20,0.40,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK
73,2023/12/20,13:35:06,104458001D2335418A018,OK,0.70,0.00,0.50,0.50,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK
72,2023/12/20,13:27:02,104458001D2335417A011,OK,0.60,0.40,0.00,0.40,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK
71,2023/12/20,13:25:48,104458001D2335417A009,OK,0.60,0.30,0.30,0.40,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK
70,2023/12/20,13:18:32,104458001D2335417A008,OK,0.70,0.20,0.30,0.50,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK
69,2023/12/20,13:16:42,104458001D2335417A010,OK,0.40,0.50,0.10,0.50,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK
