hour,num2
11:24:10,0.99
17:06:28,0.07
14:16:00,0.09
13:19:31,0.01
1:21:37,0.18
14:45:17,0.92
13:37:04,0.01
5:49:05,0.06
17:35:06,0.86
5:31:17,0.91
15:37:33,0.14
19:49:13,0.96
19:57:01,0.18
1:04:32,0.03
15:25:53,0.91
7:09:59,0.89
12:27:27,0.05
22:12:25,0.95
15:43:15,0.9
4:26:39,0.07
0:11:10,0.88
11:56:14,0.15
21:31:01,0.86
23:49:02,0.91
11:49:42,0.86
2:11:12,0.04
5:33:38,0.1
5:02:41,0.07
7:05:45,0.05
8:32:44,0.1
0:05:22,0.86
23:21:58,0.9
22:13:07,0.03
20:19:05,0.87
1:47:46,0.96
2:05:03,0.95
22:04:31,0.84
6:18:27,0.15
6:57:23,0.17
1:35:45,0.91
3:30:21,0.89
14:29:26,0.02
5:35:02,0.07
20:43:40,0.88
18:12:17,0.92
11:44:57,0.06
14:08:42,0.93
23:57:54,0.13
15:06:23,0.15
13:53:09,0.01
18:41:03,0.95
4:07:20,0.06
14:58:04,0.17
10:02:28,0.93
13:39:57,0.13
16:59:22,0.88
5:38:42,0.0
2:33:50,0.1
17:51:45,0.98
2:27:53,0.03
21:18:54,0.17
12:37:50,0.19
8:47:51,0.04
4:13:47,0.84
22:02:52,0.11
17:51:51,0.97
9:53:42,0.04
4:53:14,0.01
12:25:16,0.07
17:17:21,0.09
10:06:10,0.87
4:30:02,0.96
0:53:46,0.82
13:02:46,0.94
20:07:08,0.93
2:36:02,0.06
18:54:26,0.19
18:49:21,0.06
18:25:36,0.97
7:42:51,0.96
23:44:21,0.88
12:40:47,0.16
9:04:46,0.91
11:37:54,0.1
9:28:12,0.07
0:06:43,0.03
12:17:20,0.81
3:58:03,0.19
3:16:40,0.88
7:38:59,0.08
21:41:42,0.97
13:10:56,0.13
4:26:45,0.13
12:31:16,0.81
0:38:07,0.08
3:48:50,0.02
9:02:52,0.93
0:57:37,0.96
14:00:53,1.0
3:17:15,0.13
8:25:39,0.86
16:23:16,0.94
6:27:58,0.85
8:37:08,0.19
7:35:19,0.11
5:01:34,0.18
1:35:23,0.89
14:39:26,0.19
5:44:59,0.86
10:46:40,0.94
1:05:29,0.09
6:27:21,0.08
18:16:14,0.04
5:00:03,0.06
4:48:30,0.18
21:01:54,0.18
15:22:03,0.14
5:27:26,0.81
1:32:04,0.93
11:15:16,0.81
4:45:00,0.93
0:13:16,0.87
7:58:37,0.83
13:38:26,0.13
2:19:56,0.15
18:25:01,0.87
19:14:34,0.11
23:12:07,0.1
4:05:26,0.84
7:07:27,0.02
11:47:22,0.16
12:06:45,0.93
18:44:23,0.16
8:08:41,0.0
19:07:33,0.92
17:21:06,0.05
10:45:54,0.09
15:47:21,0.95
11:24:09,0.11
20:14:09,0.84
23:12:28,0.84
12:37:58,0.84
13:07:46,0.01
14:55:57,0.17
17:52:41,0.11
5:27:18,0.08
10:52:10,0.05
21:23:45,0.96
19:42:22,0.18
4:34:46,0.86
11:38:49,0.99
13:41:01,0.84
22:23:54,0.14
3:54:57,0.92
20:21:52,0.93
18:35:06,0.06
13:55:44,0.12
20:52:23,0.99
7:10:23,0.84
3:20:32,0.15
19:27:29,0.81
8:55:38,0.06
19:19:44,0.89
14:55:54,0.07
20:38:38,0.88
13:22:33,0.12
6:27:58,0.94
21:56:46,0.98
22:42:49,0.81
0:53:29,0.93
6:47:50,0.84
3:26:17,0.94
9:45:52,0.05
22:45:42,0.01
18:23:10,0.95
5:46:46,0.03
9:17:38,0.97
13:39:56,1.0
3:17:46,0.1
14:09:46,0.89
16:28:22,0.03
4:16:41,0.99
22:00:26,0.91
3:43:27,0.14
16:10:17,0.02
13:27:39,0.81
23:26:00,0.06
4:59:20,0.09
11:07:46,0.98
22:27:13,0.08
4:22:55,0.91
4:01:31,0.04
8:45:20,0.03
1:10:38,0.87
22:59:13,0.98
11:10:13,0.9
17:02:26,0.08
0:44:41,0.88
10:02:36,0.06
4:54:10,0.86
